timestamp,percentageNow,timeFuture,percentageFuture
2026-01-07T11:17:37.857Z,29.99134236130282%,2026-01-07T13:07:37.857Z,27.583533236203706%
2026-01-07T11:17:37.892Z,29.99134236130282%,2026-01-07T13:07:37.892Z,27.583533236203706%
2026-01-07T11:17:37.929Z,28.038336716178797%,2026-01-07T13:07:37.929Z,26.264405495694465%
2026-01-07T11:17:37.986Z,30.84674167975229%,2026-01-07T13:07:37.986Z,27.315816525438596%
2026-01-07T11:17:38.024Z,30.84674167975229%,2026-01-07T13:07:38.024Z,27.315816525438596%
2026-01-07T11:25:38.670Z,29.42073281936507%,2026-01-07T13:15:38.670Z,26.65201448934355%
2026-01-07T11:32:39.416Z,30.90267643255095%,2026-01-07T13:22:39.416Z,28.52944284194529%
2026-01-07T11:32:39.512Z,30.690923256167242%,2026-01-07T13:22:39.512Z,28.320714962923766%
2026-01-07T11:32:39.582Z,30.33124516987542%,2026-01-07T13:22:39.582Z,28.744674395094233%
2026-01-07T11:32:39.621Z,30.33124516987542%,2026-01-07T13:22:39.621Z,28.744674395094233%
2026-01-07T11:35:38.663Z,30.33124516987542%,2026-01-07T13:25:38.663Z,28.744674395094233%
2026-01-07T11:45:38.665Z,29.377082894872707%,2026-01-07T13:35:38.665Z,27.688024857895744%
2026-01-07T11:47:42.456Z,29.927998809698288%,2026-01-07T13:37:42.456Z,29.885506539917245%
2026-01-07T11:47:42.483Z,29.927998809698288%,2026-01-07T13:37:42.483Z,29.885506539917245%
2026-01-07T11:48:41.771Z,29.927998809698288%,2026-01-07T13:38:41.771Z,29.885506539917245%
2026-01-07T11:48:42.496Z,29.594828384075534%,2026-01-07T13:38:42.496Z,30.25261608941102%
2026-01-07T11:55:38.666Z,29.294216801404872%,2026-01-07T13:45:38.666Z,29.993204878231417%
2026-01-07T12:03:43.318Z,29.52032896632963%,2026-01-07T13:53:43.318Z,30.66313889948045%
2026-01-07T12:03:43.379Z,29.52032896632963%,2026-01-07T13:53:43.379Z,30.66313889948045%
2026-01-07T12:03:43.414Z,29.395474456267763%,2026-01-07T13:53:43.414Z,30.801068165886036%
2026-01-07T12:05:38.667Z,29.395474456267763%,2026-01-07T13:55:38.667Z,30.801068165886036%
2026-01-07T12:15:38.668Z,28.79152342824478%,2026-01-07T14:05:38.668Z,30.270791761892074%
2026-01-07T12:18:45.004Z,28.79152342824478%,2026-01-07T14:08:45.004Z,30.270791761892074%
2026-01-07T12:18:45.123Z,29.0550140942993%,2026-01-07T14:08:45.123Z,29.51976090416893%
2026-01-07T12:18:45.161Z,29.0550140942993%,2026-01-07T14:08:45.161Z,29.51976090416893%
2026-01-07T12:25:38.669Z,29.170029783405106%,2026-01-07T14:15:38.669Z,30.179136039614306%
2026-01-07T12:33:46.347Z,28.82616405222609%,2026-01-07T14:23:46.347Z,30.381679082267354%
2026-01-07T12:33:46.423Z,31.277967226206098%,2026-01-07T14:23:46.423Z,32.454700853234215%
2026-01-07T12:33:46.452Z,28.052282323830337%,2026-01-07T14:23:46.452Z,31.305241142606977%
2026-01-07T12:33:46.506Z,28.052282323830337%,2026-01-07T14:23:46.506Z,31.305241142606977%
2026-01-07T12:35:38.669Z,28.052282323830337%,2026-01-07T14:25:38.669Z,31.305241142606977%
2026-01-07T12:45:38.725Z,28.313513353784458%,2026-01-07T14:35:38.725Z,31.00799529091671%
2026-01-07T12:48:49.291Z,28.690136347424655%,2026-01-07T14:38:49.291Z,32.87380489442613%
2026-01-07T12:48:49.340Z,28.690136347424655%,2026-01-07T14:38:49.340Z,32.87380489442613%
2026-01-07T12:48:49.401Z,28.690136347424655%,2026-01-07T14:38:49.401Z,32.87380489442613%
2026-01-07T12:48:49.433Z,28.298070235945595%,2026-01-07T14:38:49.433Z,33.5958834187436%
2026-01-07T12:55:38.720Z,29.56985250201462%,2026-01-07T14:45:38.720Z,34.396742746287764%
2026-01-07T13:03:51.350Z,29.45216977500501%,2026-01-07T14:53:51.350Z,35.40475237564153%
2026-01-07T13:03:51.421Z,29.352837510272455%,2026-01-07T14:53:51.421Z,35.34901223347499%
2026-01-07T13:03:51.464Z,26.95453277018008%,2026-01-07T14:53:51.464Z,33.56287779530446%
2026-01-07T13:03:51.520Z,29.81699243149575%,2026-01-07T14:53:51.520Z,34.444680763383104%
2026-01-07T13:03:51.549Z,29.81699243149575%,2026-01-07T14:53:51.549Z,34.444680763383104%
2026-01-07T13:05:38.723Z,29.767035550392727%,2026-01-07T14:55:38.723Z,34.36779426539659%
2026-01-07T13:15:38.725Z,28.435780234786424%,2026-01-07T15:05:38.725Z,34.681586609142954%
2026-01-07T13:19:52.896Z,28.454255065958844%,2026-01-07T15:09:52.896Z,34.70986054654243%
2026-01-07T13:19:52.948Z,28.454255065958844%,2026-01-07T15:09:52.948Z,34.70986054654243%
2026-01-07T13:19:53.012Z,28.014910332767307%,2026-01-07T15:09:53.012Z,35.590657995503086%
2026-01-07T13:19:53.042Z,28.014910332767307%,2026-01-07T15:09:53.042Z,35.590657995503086%
2026-01-07T13:25:38.727Z,28.367143795131017%,2026-01-07T15:15:38.727Z,35.368477153986035%
2026-01-07T13:34:54.622Z,29.119590598945276%,2026-01-07T15:24:54.622Z,36.34725774054865%
2026-01-07T13:34:54.737Z,29.42406931973957%,2026-01-07T15:24:54.737Z,36.60213443699162%
2026-01-07T13:34:54.774Z,29.012145245922294%,2026-01-07T15:24:54.774Z,36.57481572038226%
2026-01-07T13:34:54.808Z,29.012145245922294%,2026-01-07T15:24:54.808Z,36.57481572038226%
2026-01-07T13:35:38.729Z,28.996159043971353%,2026-01-07T15:25:38.729Z,36.55021204102646%
2026-01-07T13:45:38.730Z,29.716296655058162%,2026-01-07T15:35:38.730Z,37.42909272887788%
2026-01-07T13:49:56.035Z,29.847555493281074%,2026-01-07T15:39:56.035Z,37.23925713011467%
2026-01-07T13:49:56.185Z,29.61765366187136%,2026-01-07T15:39:56.185Z,37.89237622145987%
2026-01-07T13:49:56.208Z,29.61765366187136%,2026-01-07T15:39:56.208Z,37.89237622145987%
2026-01-07T13:49:56.232Z,29.510742573994246%,2026-01-07T15:39:56.232Z,37.82341481825327%
2026-01-07T13:55:38.731Z,29.839507241979078%,2026-01-07T15:45:38.731Z,38.91641930232409%
2026-01-07T14:04:57.775Z,30.517035059538316%,2026-01-07T15:54:57.775Z,41.469304751345746%
2026-01-07T14:04:57.837Z,30.556214357563867%,2026-01-07T15:54:57.837Z,41.299908524295674%
2026-01-07T14:04:57.868Z,31.985773883729905%,2026-01-07T15:54:57.868Z,42.54823326408767%
2026-01-07T14:04:57.903Z,30.503655319720167%,2026-01-07T15:54:57.903Z,41.53273003382388%
2026-01-07T14:05:38.734Z,30.554435057653663%,2026-01-07T15:55:38.734Z,41.62527123107001%
2026-01-07T14:15:38.845Z,30.84382643567423%,2026-01-07T16:05:38.845Z,41.49488431040489%
2026-01-07T14:19:59.999Z,31.26798058146833%,2026-01-07T16:09:59.999Z,42.28295238162158%
2026-01-07T14:20:00.028Z,31.818959060854546%,2026-01-07T16:10:00.028Z,41.94358778319045%
2026-01-07T14:20:59.988Z,31.818959060854546%,2026-01-07T16:10:59.988Z,41.94358778319045%
2026-01-07T14:21:00.100Z,31.7649167009884%,2026-01-07T16:11:00.100Z,42.283130434161095%
2026-01-07T14:25:38.811Z,31.845554040489077%,2026-01-07T16:15:38.811Z,42.42896863003715%
