Total_Obs,Day_Obs,Date,Time,Heart.Rate,Max_70_perc
139696,405,2025-07-03,00:52:08,99,136.5
139697,406,2025-07-03,00:52:13,102,136.5
139698,407,2025-07-03,00:52:18,103,136.5
139699,408,2025-07-03,00:52:23,104,136.5
139700,409,2025-07-03,00:52:28,92,136.5
139701,410,2025-07-03,00:52:33,79,136.5
139702,411,2025-07-03,00:52:38,76,136.5
139703,412,2025-07-03,00:52:48,75,136.5
139704,413,2025-07-03,00:52:58,69,136.5
139705,414,2025-07-03,00:53:03,60,136.5
139706,415,2025-07-03,00:53:08,58,136.5
139707,416,2025-07-03,00:53:13,59,136.5
139708,417,2025-07-03,00:53:23,60,136.5
139709,418,2025-07-03,00:53:28,61,136.5
139710,419,2025-07-03,00:53:33,60,136.5
139711,420,2025-07-03,00:53:38,56,136.5
139712,421,2025-07-03,00:53:53,57,136.5
139713,422,2025-07-03,00:54:03,58,136.5
139714,423,2025-07-03,00:54:13,59,136.5
139715,424,2025-07-03,00:54:18,61,136.5
139716,425,2025-07-03,00:54:23,64,136.5
139717,426,2025-07-03,00:54:33,64,136.5
139718,427,2025-07-03,00:54:38,66,136.5
139719,428,2025-07-03,00:54:43,65,136.5
139720,429,2025-07-03,00:54:48,64,136.5
139721,430,2025-07-03,00:54:53,61,136.5
139722,431,2025-07-03,00:55:03,60,136.5
139723,432,2025-07-03,00:55:18,60,136.5
139724,433,2025-07-03,00:55:23,61,136.5
139725,434,2025-07-03,00:55:28,62,136.5
139726,435,2025-07-03,00:55:33,64,136.5
139727,436,2025-07-03,00:55:39,65,136.5
139728,437,2025-07-03,00:55:49,64,136.5
139729,438,2025-07-03,00:55:54,64,136.5
139730,439,2025-07-03,00:56:09,64,136.5
139731,440,2025-07-03,00:56:19,61,136.5
139732,441,2025-07-03,00:56:24,61,136.5
139733,442,2025-07-03,00:56:29,62,136.5
139734,443,2025-07-03,00:56:39,67,136.5
139735,444,2025-07-03,00:56:44,70,136.5
139736,445,2025-07-03,00:56:49,69,136.5
139737,446,2025-07-03,00:56:54,68,136.5
139738,447,2025-07-03,00:57:04,69,136.5
139739,448,2025-07-03,00:57:09,67,136.5
139740,449,2025-07-03,00:57:14,64,136.5
139741,450,2025-07-03,00:57:19,62,136.5
139742,451,2025-07-03,00:57:24,61,136.5
139743,452,2025-07-03,00:57:39,61,136.5
139744,453,2025-07-03,00:57:44,63,136.5
139745,454,2025-07-03,00:57:49,64,136.5
139746,455,2025-07-03,00:57:54,63,136.5
139747,456,2025-07-03,00:57:59,64,136.5
139748,457,2025-07-03,00:58:04,64,136.5
139749,458,2025-07-03,00:58:19,64,136.5
139750,459,2025-07-03,00:58:24,65,136.5
139751,460,2025-07-03,00:58:39,67,136.5
139752,461,2025-07-03,00:58:44,68,136.5
139753,462,2025-07-03,00:58:54,67,136.5
139754,463,2025-07-03,00:58:59,66,136.5
139755,464,2025-07-03,00:59:14,65,136.5
139756,465,2025-07-03,00:59:24,67,136.5
139757,466,2025-07-03,00:59:39,67,136.5
139758,467,2025-07-03,00:59:49,66,136.5
139759,468,2025-07-03,00:59:54,65,136.5
139760,469,2025-07-03,00:59:59,66,136.5
139761,470,2025-07-03,01:00:04,64,136.5
139762,471,2025-07-03,01:00:09,63,136.5
139763,472,2025-07-03,01:00:19,65,136.5
139764,473,2025-07-03,01:00:24,66,136.5
139765,474,2025-07-03,01:00:29,66,136.5
139766,475,2025-07-03,01:00:44,67,136.5
139767,476,2025-07-03,01:00:49,69,136.5
139768,477,2025-07-03,01:00:54,62,136.5
139769,478,2025-07-03,01:00:59,61,136.5
139770,479,2025-07-03,01:01:14,61,136.5
139771,480,2025-07-03,01:01:19,62,136.5
139772,481,2025-07-03,01:01:24,67,136.5
139773,482,2025-07-03,01:01:34,65,136.5
139774,483,2025-07-03,01:01:49,65,136.5
139775,484,2025-07-03,01:02:04,65,136.5
139776,485,2025-07-03,01:02:09,65,136.5
139777,486,2025-07-03,01:02:24,65,136.5
139778,487,2025-07-03,01:02:29,67,136.5
139779,488,2025-07-03,01:02:34,68,136.5
139780,489,2025-07-03,01:02:39,69,136.5
139781,490,2025-07-03,01:02:44,71,136.5
139782,491,2025-07-03,01:02:49,73,136.5
139783,492,2025-07-03,01:02:54,76,136.5
139784,493,2025-07-03,01:02:59,77,136.5
139785,494,2025-07-03,01:03:04,68,136.5
139786,495,2025-07-03,01:03:09,63,136.5
139787,496,2025-07-03,01:03:14,60,136.5
139788,497,2025-07-03,01:03:19,59,136.5
139789,498,2025-07-03,01:03:24,58,136.5
139790,499,2025-07-03,01:03:29,59,136.5
139791,500,2025-07-03,01:03:34,63,136.5
139792,501,2025-07-03,01:03:39,64,136.5
139793,502,2025-07-03,01:03:44,61,136.5
139794,503,2025-07-03,01:03:49,58,136.5
139795,504,2025-07-03,01:03:54,56,136.5
139796,505,2025-07-03,01:04:04,58,136.5
139797,506,2025-07-03,01:04:09,60,136.5
139798,507,2025-07-03,01:04:14,61,136.5
139799,508,2025-07-03,01:04:19,60,136.5
139800,509,2025-07-03,01:04:24,59,136.5
139801,510,2025-07-03,01:04:29,58,136.5
139802,511,2025-07-03,01:04:44,59,136.5
139803,512,2025-07-03,01:04:49,57,136.5
139804,513,2025-07-03,01:05:04,58,136.5
139805,514,2025-07-03,01:05:19,58,136.5
139806,515,2025-07-03,01:05:24,57,136.5
139807,516,2025-07-03,01:05:29,57,136.5
139808,517,2025-07-03,01:05:34,56,136.5
139809,518,2025-07-03,01:05:39,55,136.5
139810,519,2025-07-03,01:05:49,56,136.5
139811,520,2025-07-03,01:06:04,58,136.5
139812,521,2025-07-03,01:06:09,59,136.5
139813,522,2025-07-03,01:06:14,61,136.5
139814,523,2025-07-03,01:06:24,63,136.5
139815,524,2025-07-03,01:06:29,62,136.5
139816,525,2025-07-03,01:06:34,58,136.5
139817,526,2025-07-03,01:06:39,57,136.5
139818,527,2025-07-03,01:06:54,59,136.5
139819,528,2025-07-03,01:07:04,61,136.5
139820,529,2025-07-03,01:07:09,62,136.5
139821,530,2025-07-03,01:07:14,60,136.5
139822,531,2025-07-03,01:07:19,60,136.5
139823,532,2025-07-03,01:07:24,61,136.5
139824,533,2025-07-03,01:07:29,60,136.5
139825,534,2025-07-03,01:07:39,61,136.5
139826,535,2025-07-03,01:07:44,67,136.5
139827,536,2025-07-03,01:07:49,68,136.5
139828,537,2025-07-03,01:07:54,61,136.5
139829,538,2025-07-03,01:07:59,59,136.5
139830,539,2025-07-03,01:08:14,59,136.5
139831,540,2025-07-03,01:08:24,60,136.5
139832,541,2025-07-03,01:08:29,61,136.5
139833,542,2025-07-03,01:08:39,63,136.5
139834,543,2025-07-03,01:08:44,64,136.5
139835,544,2025-07-03,01:08:59,64,136.5
139836,545,2025-07-03,01:09:04,64,136.5
139837,546,2025-07-03,01:09:14,65,136.5
139838,547,2025-07-03,01:09:19,91,136.5
139839,548,2025-07-03,01:09:24,101,136.5
139840,549,2025-07-03,01:09:29,97,136.5
139841,550,2025-07-03,01:09:34,64,136.5
139842,551,2025-07-03,01:09:39,61,136.5
139843,552,2025-07-03,01:09:54,61,136.5
139844,553,2025-07-03,01:09:59,60,136.5
139845,554,2025-07-03,01:10:04,61,136.5
139846,555,2025-07-03,01:10:09,64,136.5
139847,556,2025-07-03,01:10:14,81,136.5
139848,557,2025-07-03,01:10:19,88,136.5
139849,558,2025-07-03,01:10:24,94,136.5
139850,559,2025-07-03,01:10:29,98,136.5
139851,560,2025-07-03,01:10:34,101,136.5
139852,561,2025-07-03,01:10:39,100,136.5
139853,562,2025-07-03,01:10:49,104,136.5
139854,563,2025-07-03,01:10:54,110,136.5
139855,564,2025-07-03,01:10:59,112,136.5
139856,565,2025-07-03,01:11:04,116,136.5
139857,566,2025-07-03,01:11:09,118,136.5
139858,567,2025-07-03,01:11:24,117,136.5
139859,568,2025-07-03,01:11:29,102,136.5
139860,569,2025-07-03,01:11:34,85,136.5
139861,570,2025-07-03,01:11:39,86,136.5
